Источники видео (Pexels, свободная лицензия):
bubble-tea.mp4 — Pexels, автор Connor Scott McManus — https://www.pexels.com/video/close-up-of-thai-milk-tea-with-boba-stirring-35828801/
cold-brew.mp4 — Pexels, автор Mizuno K — https://www.pexels.com/video/a-person-pouring-coffee-into-a-glass-with-ice-cubes-13736637/
hot-chocolate.mp4 — Pexels, автор Tima Miroshnichenko — https://www.pexels.com/video/a-woman-drinking-hot-cocoa-with-marshmallows-5384797/
peach.mp4 — Pexels, автор azra melek — https://www.pexels.com/video/harvesting-yellow-apples-in-fruit-orchard-38480047/
apricot.mp4 — Pexels, автор azra melek — https://www.pexels.com/video/fresh-gooseberries-in-harvest-38547957/
coconut.mp4 — Pexels, автор Mikhail Nilov — https://www.pexels.com/video/close-up-video-of-a-coconut-7677661/
blackberry.mp4 — Pexels, автор Ira Po — https://www.pexels.com/video/blackberries-on-a-tree-9415962/
raspberry.mp4 — Pexels, автор Nicola Barts — https://www.pexels.com/video/a-person-putting-cream-on-the-raspberries-7931713/
orange.mp4 — Pexels, автор Any Lane — https://www.pexels.com/video/close-up-video-of-fruits-5945035/
melon.mp4 — Pexels, автор Any Lane — https://www.pexels.com/video/one-melon-5944938/
watermelon.mp4 — Pexels, автор Kindel Media — https://www.pexels.com/video/a-sliced-watermelon-on-a-table-8186328/
avocado-toast.mp4 — Pexels, автор Tima Miroshnichenko — https://www.pexels.com/video/avocado-toasts-with-mushroom-and-tomatoes-on-top-6329268/
scrambled-eggs.mp4 — Pexels, автор Марина Кулясова — https://www.pexels.com/video/cozy-breakfast-setting-with-eggs-and-coffee-34307143/
muffin.mp4 — Pexels, автор Ceren Büşra SEVTEKİN — https://www.pexels.com/video/steaming-coffee-and-chocolate-cakes-on-stove-36026838/
croissant.mp4 — Pexels, автор Anastasia  Shuraeva — https://www.pexels.com/video/close-up-of-croissants-and-peaches-8510297/
fresh-mint-tea.mp4 — Pexels, автор Anna Pou — https://www.pexels.com/video/a-glass-of-iced-tea-8296113/
lemonade.mp4 — Pexels, автор Timur Weber — https://www.pexels.com/video/close-up-shot-of-drinks-in-the-glass-8677724/
coconut-water.mp4 — Pexels, автор Pavel Danilyuk — https://www.pexels.com/video/a-girl-drinking-using-a-stainless-steel-straw-6951023/
herbal-tea.mp4 — Pexels, автор Ivan S — https://www.pexels.com/video/close-up-video-of-a-person-pouring-tea-in-a-cup-8507952/
poutine.mp4 — Pexels, автор Icha Ghozali — https://www.pexels.com/video/close-up-of-melty-cheese-stretching-37714300/
corn-dog.mp4 — Pexels, автор 宇航 钱 — https://www.pexels.com/video/close-up-on-food-in-boiling-water-11580342/
pretzel.mp4 — Pexels, автор Anna Bondarenko — https://www.pexels.com/video/a-strawberry-design-bread-6647210/
mango-sticky-rice.mp4 — Pexels, автор Max Griss — https://www.pexels.com/video/smooth-mango-and-coconut-dessert-preparation-38756601/
